x,y,L_track,R_track
26.2307138,-65.54279774,1.5,1.5
25.58785847,-65.81981221,1.5,1.5
24.96208871,-66.13351942,1.5,1.5
24.30302253,-66.3693833,1.5,1.5
23.63456917,-66.57715748,1.5,1.5
22.95839959,-66.75825053,1.5,1.5
22.28041337,-66.93241909,1.5,1.5
21.59579121,-67.07833858,1.5,1.5
20.90290206,-67.17786061,1.5,1.5
20.20353287,-67.20757142,1.5,1.5
19.50356113,-67.20128167,1.5,1.5
18.80359987,-67.20864619,1.5,1.5
18.10407764,-67.18278806,1.5,1.5
17.40790514,-67.10968636,1.5,1.5
16.71516804,-67.00911151,1.5,1.5
16.01519316,-67.00318082,1.5,1.5
15.34029041,-66.81742215,1.5,1.5
14.67626186,-66.59591351,1.5,1.5
14.02351293,-66.34309177,1.5,1.5
13.35919973,-66.12243827,1.5,1.5
12.70396903,-65.87611992,1.5,1.5
12.04972896,-65.62718229,1.5,1.5
11.39582823,-65.3773547,1.5,1.5
10.7458133,-65.11758441,1.5,1.5
10.08869579,-64.87634476,1.5,1.5
9.444978976,-64.6013381,1.5,1.5
8.789787398,-64.3549157,1.5,1.5
8.131866454,-64.11587589,1.5,1.5
7.489801523,-63.83703431,1.5,1.5
6.862262512,-63.52688147,1.5,1.5
6.203040706,-63.2914529,1.5,1.5
5.598023431,-62.93938174,1.5,1.5
5.030058781,-62.53021655,1.5,1.5
4.498223147,-62.07507826,1.5,1.5
4.002068558,-61.58128618,1.5,1.5
3.544967164,-61.05113685,1.5,1.5
3.057885928,-60.54839251,1.5,1.5
2.683341801,-59.95702401,1.5,1.5
2.350539056,-59.34119747,1.5,1.5
2.067375212,-58.70102699,1.5,1.5
1.858566646,-58.03289603,1.5,1.5
1.709923738,-57.34886,1.5,1.5
1.724787994,-56.64901784,1.5,1.5
1.576496853,-55.96490547,1.5,1.5
1.634484543,-55.26731144,1.5,1.5
1.742327564,-54.57566855,1.5,1.5
1.904700221,-53.89476098,1.5,1.5
2.0708674,-53.21476946,1.5,1.5
2.314480962,-52.55852832,1.5,1.5
2.59957586,-51.91921549,1.5,1.5
2.913926225,-51.29376857,1.5,1.5
3.228909889,-50.66864035,1.5,1.5
3.58007001,-50.06309385,1.5,1.5
3.967726721,-49.48023685,1.5,1.5
4.364240824,-48.90336896,1.5,1.5
4.763627997,-48.32848646,1.5,1.5
5.132105157,-47.73331877,1.5,1.5
5.529804794,-47.15726756,1.5,1.5
5.942239679,-46.59167277,1.5,1.5
6.3586278,-46.02898197,1.5,1.5
6.745893777,-45.44586529,1.5,1.5
7.124084302,-44.85682206,1.5,1.5
7.561119394,-44.31001284,1.5,1.5
7.922571264,-43.71055262,1.5,1.5
8.252438171,-43.09314852,1.5,1.5
8.539894704,-42.45489407,1.5,1.5
8.814315659,-41.81092735,1.5,1.5
9.033551581,-41.14614497,1.5,1.5
9.256139336,-40.48247737,1.5,1.5
9.445997689,-39.80871643,1.5,1.5
9.602095964,-39.12634312,1.5,1.5
9.73908847,-38.43987895,1.5,1.5
9.831107961,-37.74595359,1.5,1.5
9.880536769,-37.04770092,1.5,1.5
9.912634251,-36.34843719,1.5,1.5
9.865493571,-35.65002632,1.5,1.5
9.834001917,-34.95073505,1.5,1.5
9.759956575,-34.25466229,1.5,1.5
9.645107075,-33.56414828,1.5,1.5
9.459249871,-32.88927266,1.5,1.5
9.245902695,-32.2225771,1.5,1.5
9.036437459,-31.55465171,1.5,1.5
8.788187742,-30.90015032,1.5,1.5
8.492330141,-30.26574644,1.5,1.5
8.147418783,-29.65661907,1.5,1.5
7.785021793,-29.05772974,1.5,1.5
7.391189744,-28.47902747,1.5,1.5
6.967993718,-27.92143881,1.5,1.5
6.513680959,-27.38889781,1.5,1.5
6.040105718,-26.87341115,1.5,1.5
5.529525334,-26.39455034,1.5,1.5
4.997311952,-25.93985383,1.5,1.5
4.438513801,-25.51825613,1.5,1.5
3.863191629,-25.11950257,1.5,1.5
3.243173062,-24.79457646,1.5,1.5
2.631724284,-24.45379737,1.5,1.5
2.004212393,-24.14358965,1.5,1.5
1.374419845,-23.83803876,1.5,1.5
0.74434338,-23.53307377,1.5,1.5
0.080433509,-23.31120966,1.5,1.5
-0.591682447,-23.11560766,1.5,1.5
-1.27636322,-22.96996344,1.5,1.5
-1.965808487,-22.84886338,1.5,1.5
-2.658066486,-22.74504208,1.5,1.5
-3.348357428,-22.6288594,1.5,1.5
-4.042925654,-22.54182504,1.5,1.5
-4.740449029,-22.48299358,1.5,1.5
